Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Timecode
40.85710714285601,0.988,0.45,3.419414715642793,2021-12-22_002240
-315.84626428571454,0.988,0.11,3.6297427115866743,2021-12-22_010611
549.739635714285,0.988,0.98,6.380915261663121,2021-12-22_021020
146.007721428573,0.988,0.98,3.1201058511146624,2021-12-22_024337
83.03030714285592,0.988,0.96,3.085962079464955,2021-12-22_031647
70.52984285714389,0.988,0.93,3.265233175686407,2021-12-22_034958
157.54595714285705,0.988,0.87,3.3371890464699394,2021-12-22_042313
48.49848571428396,0.988,0.79,3.3219626874525536,2021-12-22_045625
71.7008285714276,0.988,0.65,3.3738079714691853,2021-12-22_052936
89.71889285714502,0.988,0.73,3.315432908718911,2021-12-22_060329
93.74044285714184,0.988,0.67,3.2947787687415313,2021-12-22_063652
58.15222857142941,0.988,0.35,3.465560244423765,2021-12-22_071000
25.367657142858253,0.988,0.43,3.6560536069583636,2021-12-22_074310
108.07282142856937,0.988,0.99,3.1825124166647862,2021-12-22_090245
134.33675714285764,0.988,0.92,3.202142626418763,2021-12-22_093614
93.11539285714342,0.988,0.9,3.224474352332539,2021-12-22_100924
78.63850000000035,0.988,0.82,3.1839791025287676,2021-12-22_104252
58.86700714285797,0.988,0.74,3.36554924751067,2021-12-22_111553
97.03210714285768,0.988,0.85,3.206696431068393,2021-12-22_114907
17.410964285714137,0.988,0.64,3.4820679952774016,2021-12-22_122254
